region,scenario,pop,lwr,upr
MAT,Current,75573842.0175512,51531884.225,101525618.2
MAT,No dams,194078020.108303,132267683.4,260430264.05
MAT,No passage,68403599.9580886,45999006.6,92794749.875
NNE,Current,759327713.377246,505612498.775,1006836259.75
NNE,No dams,1446507564.37374,974309112.4,1925498199.5
NNE,No passage,725398830.240245,478861460.925,961729541.875
SNE,Current,8006248.07534048,5254048.2,10761636.775
SNE,No dams,38619982.6787665,26355335.5,51801136.725
SNE,No passage,6913534.27007706,4444366.55,9530573.025
