upstream,downstream,downstream_j,pop,lwr,upr,samp
0,0.6,DS Juv = 0.8,897760223,643326231.275,1140020870.375,1581
0,0.6,DS Juv = 0.9,867529681,599946583.375,1148082474.95,1524
0,0.6,DS Juv = 1,898020406,626695658.7,1201720729.825,1507
0,0.7,DS Juv = 0,885793418.5,634221164.575,1156038810.875,1495
0,0.7,DS Juv = 0.1,867896783,628487501.525,1146408442.575,1566
0,0.7,DS Juv = 0.2,904528366,642703153.475,1164441499.75,1510
0,0.7,DS Juv = 0.3,888890727,646292882.475,1130526731.875,1445
0,0.7,DS Juv = 0.4,874042996.5,624977820.125,1169039845.1,1456
0,0.7,DS Juv = 0.5,877201641,654807558.05,1154129770.775,1539
0,0.7,DS Juv = 0.6,874235062.5,623271892.35,1113644763.725,1467
0,0.7,DS Juv = 0.7,875859567,608563278.925,1167592626.675,1489
0,0.7,DS Juv = 0.8,901524422.5,636447407.775,1171771584.925,1505
0,0.7,DS Juv = 0.9,876886809,574715620.25,1150680045.225,1514
0,0.7,DS Juv = 1,897706976,675611488.95,1142344531,1448
0,0.8,DS Juv = 0,878145594,641785690,1155352076.45,1468
0,0.8,DS Juv = 0.1,893779549.5,671270965.475,1167018982.775,1497
0,0.8,DS Juv = 0.2,898525361.5,629976126.775,1152291388.825,1532
0,0.8,DS Juv = 0.3,894654105.5,649408941.825,1147234699.075,1426
0,0.8,DS Juv = 0.4,894784518,629939060.6,1177444700.075,1553
0,0.8,DS Juv = 0.5,893978509,660039089.45,1146948495.925,1431
0,0.8,DS Juv = 0.6,873539098,628321099.275,1125535402.625,1479
0,0.8,DS Juv = 0.7,876002299,636366816.225,1121166994.1,1504
0,0.8,DS Juv = 0.8,891201399,644241810.5,1176356415.825,1424
0,0.8,DS Juv = 0.9,893217545,662078421.5,1158781603.55,1520
0,0.8,DS Juv = 1,890597958.5,618372821.675,1136175570.7,1513
0,0.9,DS Juv = 0,904187749.5,673337631.55,1164976458.25,1524
0,0.9,DS Juv = 0.1,875160912,642284417.9,1180166744.05,1468
0,0.9,DS Juv = 0.2,885415018.5,619669359.55,1122660508.975,1417
0,0.9,DS Juv = 0.3,916315179.5,630070795.525,1154339562.325,1460
0,0.9,DS Juv = 0.4,884269138.5,627324168.275,1183567141,1452
0,0.9,DS Juv = 0.5,894375228,634188623.425,1171127819.65,1583
0,0.9,DS Juv = 0.6,893402243.5,644756642.775,1141562820.225,1464
